px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.35513	-8.75605	-2.68993	2.04362	-0.0827618	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.711275
9.48991	-8.87284	-2.76255	2.10996	0.012244	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	32.2308
9.52377	-9.02919	-2.77285	2.07479	-0.0211404	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	1.2822
9.56916	-9.15491	-2.75673	2.05393	-0.045987	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	2.00336
9.6075	-9.2971	-2.76053	2.02942	-0.0668308	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.450788
9.64566	-9.423	-2.74524	2.00693	-0.0905379	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.48888
9.66186	-9.57659	-2.75025	1.96781	-0.123018	9.54779	-9.64959	9.55	-9.65	0	-3.0002	1.11984
9.72799	-9.7077	-2.76539	1.97365	-0.105702	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.29504
9.74487	-9.86142	-2.7716	1.93761	-0.134392	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.916371
9.7635	-10.0056	-2.74883	1.89806	-0.175735	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.614
9.79531	-10.1524	-2.74652	1.87762	-0.186032	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.191456
9.83477	-10.2885	-2.74824	1.86405	-0.191759	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.557596
9.84328	-10.4365	-2.75202	1.83121	-0.213283	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.550479
9.88667	-10.5806	-2.7562	1.82823	-0.200154	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.861533
9.9055	-10.7361	-2.75828	1.80334	-0.212945	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.199205
9.91187	-10.886	-2.7447	1.76375	-0.24977	9.88465	-10.9383	9.85	-10.9	0	-2.73074	2.20038
9.91467	-11.0415	-2.74527	1.73275	-0.265794	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.361024
9.93083	-11.1769	-2.74395	1.71592	-0.269592	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0756902
9.92323	-11.324	-2.74835	1.68369	-0.286564	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.400661
9.93736	-11.463	-2.75081	1.66934	-0.285764	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.0818427
9.921	-11.6103	-2.75529	1.63519	-0.303679	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.493603
9.84985	-11.7481	-2.72623	1.53554	-0.418478	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	17.0499
9.82387	-11.883	-2.72347	1.50224	-0.430155	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.381185
9.79821	-12.0168	-2.7193	1.4667	-0.448227	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.381126
9.75364	-12.1564	-2.72209	1.42555	-0.465045	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.574498
9.68265	-12.2892	-2.71305	1.346	-0.542238	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	6.13269
9.63047	-12.4148	-2.70844	1.30627	-0.554275	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.58847
